Sample,Genus,Hero,CDS_total,Biofilm_EPS::polysaccharide_intercellular,Biofilm_EPS::pel,Biofilm_EPS::psl,Biofilm_EPS::cellulose,Biofilm_EPS::alginate,Biofilm_EPS::curli,Biofilm_EPS::colanic,Biofilm_EPS::capsule,Biofilm_EPS::adhesin,Biofilm_EPS::quorum,Ammonia_N::urea_transport,Ammonia_N::GS_GOGAT,Ammonia_N::GDH,Ammonia_N::ammonium_transport,Ammonia_N::PII_regulator,Ammonia_N::nitrate_nitrite,HGT_markers::transposase,HGT_markers::integrase,HGT_markers::phage,HGT_markers::plasmid,HGT_markers::conjugation,Alkaline_Osmo::Na_H_antiporter,Alkaline_Osmo::Mrp_complex,Alkaline_Osmo::K_uptake,Alkaline_Osmo::compatible_solute,Alkaline_Osmo::HSP_chaperone,Alkaline_Osmo::oxidative,CAZyme_proxy::glycoside_hydrolase,CAZyme_proxy::glycosyltransferase,CAZyme_proxy::polysaccharide_lyase,CAZyme_proxy::carb_esterase,CAZyme_proxy::carb_binding,MetalResist_AMR::metal_efflux,MetalResist_AMR::metallothionein,MetalResist_AMR::beta_lactamase,MetalResist_AMR::efflux_MDR,MetalResist_AMR::aminoglycoside,MetalResist_AMR::tet_mac
S27,Pseudomonas_E,False,4366,518,0,0,0,12,3,0,1,6,5,6,11,1,1,1,3,4,4,13,1,3,1,0,3,67,4,0,5,22,2,0,0,112,0,12,8,3,4
S28,Comamonas,False,4545,717,0,0,0,0,0,0,0,3,6,3,6,2,2,3,7,12,6,11,3,2,2,0,3,80,6,0,1,13,0,0,1,96,0,16,6,2,2
S29,Acinetobacter,False,2754,598,0,0,0,0,0,0,0,2,2,0,6,1,3,1,1,8,1,4,1,1,0,0,1,39,6,0,0,7,0,0,0,44,0,7,2,3,1
S3,Acinetobacter,False,3047,496,0,0,0,0,0,0,0,2,0,3,7,1,3,1,1,3,6,26,0,1,1,0,1,47,8,0,1,11,0,0,0,62,0,10,3,3,1
S30,Acinetobacter,False,1722,411,0,0,0,0,0,0,0,2,1,1,2,0,1,1,0,2,1,2,0,0,0,0,1,21,5,0,0,6,0,0,0,30,0,6,0,1,1
S31,Pseudomonas_E,False,5098,529,0,0,2,15,3,0,1,13,8,4,13,2,1,1,3,8,8,29,2,11,2,0,3,89,8,0,5,24,2,0,1,134,0,13,9,4,4
S32,Acinetobacter,False,3159,411,0,0,1,0,1,0,0,2,1,2,6,2,4,1,2,9,6,17,0,2,1,0,2,45,8,0,0,10,1,0,0,69,0,11,2,4,1
S4,Pseudomonas_E,False,4244,540,0,0,0,19,1,0,1,10,4,4,9,0,1,1,3,5,6,24,2,1,1,0,3,63,7,0,5,17,3,0,0,105,1,10,6,2,3
S5,Achromobacter,False,5546,757,0,0,0,1,1,1,0,12,5,5,6,2,1,2,6,3,10,78,3,0,4,0,4,82,6,1,2,28,1,0,0,115,0,11,10,2,2
S6,Stenotrophomonas,False,2726,716,0,2,0,0,1,0,0,7,5,0,2,1,1,2,3,0,4,3,0,0,0,0,0,42,3,0,8,20,1,0,0,56,0,15,2,2,1
S7,Stenotrophomonas,False,3584,966,0,2,0,1,1,0,0,17,5,0,6,0,1,2,4,5,10,4,1,0,0,0,1,53,7,0,9,22,0,0,0,58,0,16,5,2,3
S8,Stenotrophomonas,False,2939,750,0,0,0,1,0,0,1,10,3,0,4,1,0,0,0,6,7,6,2,3,0,0,0,32,4,0,7,20,1,0,0,56,0,4,8,0,2
S9,Pseudomonas_E,False,5012,525,0,0,1,24,0,0,2,2,1,4,11,2,1,1,2,7,9,50,2,0,1,0,3,73,9,0,8,19,2,0,0,129,1,11,11,2,2
V1,Stenotrophomonas,False,3991,557,0,0,3,3,1,0,0,8,5,0,6,1,1,2,5,8,3,26,2,8,0,0,1,70,8,0,14,19,4,0,1,89,0,15,14,3,4
V10,Achromobacter,False,6058,709,0,0,0,1,2,1,0,5,8,4,7,2,1,2,11,8,7,51,4,0,2,0,4,103,9,1,2,26,0,0,1,128,0,15,9,2,2
V11,Pseudomonas_E,False,5275,715,0,0,2,18,3,0,2,4,9,4,12,2,3,1,4,5,8,38,5,0,3,0,2,72,5,0,5,22,1,0,0,141,1,12,9,3,2
V12,Alcaligenes,False,3662,570,0,0,0,0,0,0,0,4,6,0,6,1,1,1,3,1,7,26,4,13,2,0,3,53,5,1,0,17,0,0,0,80,0,9,6,4,1
V13,Stenotrophomonas,False,2483,574,0,0,0,3,1,0,0,6,4,0,5,1,2,1,5,2,2,2,1,4,0,0,1,41,2,0,9,15,0,0,1,42,1,13,0,2,3
V14,Achromobacter,False,5360,1031,0,0,0,4,1,1,0,9,6,3,7,2,1,1,8,5,4,26,3,5,1,0,3,72,11,1,2,25,1,0,0,102,0,7,9,2,2
V15,Chryseobacterium,False,4639,613,0,0,0,1,4,0,0,6,5,1,1,1,1,0,1,14,3,20,5,1,1,0,1,143,6,0,26,49,3,0,5,105,0,29,14,3,3
V16,Chryseobacterium,False,3727,681,0,0,0,1,4,0,0,9,8,1,1,0,1,0,0,13,3,11,4,3,1,0,0,108,1,0,13,37,4,0,3,83,0,25,7,3,4
V17,Burkholderia,False,7381,1484,0,0,5,7,4,0,0,13,17,3,6,2,1,2,3,24,16,61,2,5,1,0,3,111,12,2,10,43,5,1,0,131,0,17,18,4,5
V18,Achromobacter,False,5733,917,0,0,0,4,1,0,0,5,7,3,7,2,1,2,11,3,6,24,2,0,1,0,4,80,8,1,1,26,1,0,0,117,0,9,11,3,2
V19,Pseudomonas_E,False,2751,790,0,0,0,8,0,0,1,2,3,0,4,1,1,0,5,4,1,13,1,0,2,0,1,21,1,0,3,9,1,0,0,53,1,5,2,1,0
V2,Comamonas,False,4333,782,0,0,0,0,2,0,0,4,1,3,6,2,2,2,10,3,7,21,2,1,2,0,3,52,8,0,1,22,0,1,0,90,0,9,9,2,1
V20,Achromobacter,False,5375,775,0,0,0,4,0,1,0,8,8,4,7,2,1,2,11,4,7,27,2,0,4,0,5,69,7,1,2,32,1,0,1,120,0,5,9,2,1
V21,Acinetobacter,False,3069,520,0,0,0,0,0,0,0,3,0,3,6,2,3,1,1,13,3,32,0,2,2,0,1,44,7,0,1,6,0,0,0,53,0,10,2,3,1
V22,Pseudomonas_E,False,5064,630,0,0,3,16,2,0,1,13,6,4,11,1,1,1,2,7,13,37,2,1,2,0,3,79,8,0,4,25,2,0,0,122,0,13,8,5,3
V23,Acinetobacter,False,2626,507,0,0,0,0,2,0,0,6,0,4,5,1,2,1,0,5,3,5,0,2,1,0,1,42,4,0,1,9,0,0,0,53,0,9,2,3,1
V24,Chryseobacterium,False,4612,677,0,0,0,1,4,0,0,5,11,1,1,1,1,0,0,22,3,13,2,2,1,0,1,137,8,1,17,36,1,0,5,89,0,35,13,4,3
V25,Pseudomonas_E,False,3085,480,0,0,0,4,4,0,0,1,5,3,7,0,1,0,3,5,1,8,1,0,3,0,2,45,0,0,4,12,0,0,0,75,0,5,2,1,1
V26,Flavobacterium,False,4658,702,0,0,0,8,3,0,0,5,5,0,6,4,2,0,6,12,4,14,4,2,1,0,1,165,7,2,49,38,13,0,10,117,0,22,13,0,7
V27,Pseudomonas_E,False,3693,496,0,0,2,6,4,0,0,6,4,3,9,2,1,1,3,3,3,15,1,0,1,0,3,63,2,0,4,17,0,0,0,101,0,12,5,2,1
V28,Pseudomonas_E,False,5607,647,0,0,3,15,3,0,1,12,11,3,11,2,1,1,5,7,5,22,2,3,2,0,3,89,5,0,5,35,2,0,0,125,1,14,9,2,3
V29,Pseudomonas_E,False,5812,579,6,0,0,13,1,0,1,17,15,3,10,1,1,1,7,5,7,78,2,1,2,0,5,76,6,1,6,24,2,0,0,129,0,12,8,5,3
V3,Sphingobacterium,False,2752,921,0,0,0,1,0,0,0,4,5,0,1,1,0,0,0,2,3,4,0,0,2,1,1,63,3,1,18,12,1,1,8,72,0,10,4,0,5
V30,Stenotrophomonas,False,4051,730,0,0,0,5,0,0,0,8,5,0,6,2,0,1,0,9,7,24,2,4,0,0,1,70,10,0,13,19,2,0,1,90,0,18,12,3,3
V31,Chryseobacterium,False,4546,622,0,0,0,2,4,0,0,6,5,1,3,1,1,0,0,7,2,9,3,1,1,0,1,148,7,1,22,32,3,1,4,95,0,36,13,3,3
V32,Pseudomonas_E,False,5471,991,4,3,0,12,1,0,2,9,8,3,9,2,1,1,2,4,5,49,1,1,2,0,4,69,1,1,3,22,3,0,0,106,0,11,8,2,3
V33,Pseudomonas_E,False,4716,602,5,0,0,14,1,0,1,5,12,8,9,2,3,1,9,3,4,8,2,0,3,1,3,67,8,0,2,13,2,0,0,107,0,8,9,2,1
V34,Stenotrophomonas,False,4088,553,0,0,0,2,1,0,0,15,7,0,6,1,1,2,5,16,10,16,2,7,0,0,1,64,8,0,13,21,1,0,1,93,0,12,15,3,4
V35,Acinetobacter,False,2248,369,0,0,0,0,1,0,0,0,0,0,5,1,2,1,0,9,1,2,0,1,2,0,1,32,5,0,0,9,0,0,0,40,0,7,1,3,1
V36,Acinetobacter,False,2193,354,0,0,0,0,1,0,0,4,0,0,4,2,3,1,1,8,3,1,0,1,2,0,1,31,6,0,0,13,0,0,0,51,0,9,1,1,1
V37,Acinetobacter,False,2654,444,0,0,0,1,1,0,0,1,0,1,5,1,3,1,1,18,7,30,0,1,0,0,1,41,7,0,1,4,0,0,0,49,0,9,2,2,1
V38,Acinetobacter,False,2475,287,0,0,0,0,1,0,0,3,1,2,6,1,3,1,1,5,3,3,0,0,0,0,1,40,5,0,1,14,0,0,0,50,0,10,2,1,1
V39,Pseudomonas_E,False,4739,590,5,0,0,14,0,0,1,4,13,4,9,2,3,1,9,6,6,15,1,1,3,1,3,67,9,0,2,12,2,0,0,105,0,10,10,4,1
V4,Stenotrophomonas,False,3121,458,0,0,2,1,0,0,0,6,3,0,5,2,1,2,1,0,2,7,2,2,0,0,1,59,8,0,12,15,2,0,1,74,0,19,11,2,3
V40,Stenotrophomonas,False,3394,581,0,0,0,1,1,0,0,12,4,0,5,0,1,1,0,5,9,34,1,6,0,0,1,53,5,0,8,23,2,0,0,73,0,10,13,2,2
V41,Achromobacter,False,5401,839,0,0,0,0,1,1,0,6,6,7,3,2,0,0,7,4,10,28,3,1,2,0,4,73,5,0,1,27,0,0,0,128,0,11,5,2,3
V42,Pseudomonas_E,False,4991,542,0,0,1,22,3,0,2,5,3,4,13,2,2,1,3,9,11,48,1,1,2,0,3,80,9,0,6,20,2,0,0,124,0,13,7,2,1
V5,Alcaligenes,False,3441,605,0,0,2,0,3,0,0,0,2,0,6,2,1,2,4,2,7,6,3,2,2,0,1,57,6,1,2,19,0,0,0,72,0,9,5,4,0
V6,Stenotrophomonas,False,3051,455,0,0,5,1,1,0,0,4,5,0,6,2,1,2,2,7,5,17,2,0,1,0,1,55,6,0,10,19,0,0,1,80,0,19,5,0,2
V7,Stenotrophomonas,False,2956,718,0,0,3,0,0,0,0,4,3,0,5,1,1,0,0,3,3,2,1,2,0,0,1,41,2,0,11,14,1,0,0,65,0,14,10,1,0
V8,Acinetobacter,False,2852,378,0,0,0,0,1,0,0,3,2,4,6,1,3,2,1,7,4,12,0,1,1,0,1,51,7,0,0,10,0,0,0,60,0,9,1,3,1
V9,Pseudomonas_E,False,5679,626,0,0,6,17,0,0,2,10,8,3,9,1,1,0,14,7,8,36,2,2,2,0,3,92,8,1,7,38,3,0,0,128,1,13,4,2,1
