Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	96.78	59.76	46.22	GT14BC2:NODE_2886_length_6948_cov_2.316693	NODE_193_length_52978_cov_6.563883
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_016894225.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	91.99	57.54	61.27	NZ_CP069793.1 Sphingobacterium multivorum strain FDAARGOS_1203 chromosome	NODE_193_length_52978_cov_6.563883
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	91.65	59.81	59.98	NODE_9_length_193081_cov_8.934825	NODE_193_length_52978_cov_6.563883
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S13.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S13.fna	100.00	99.82	99.82	NODE_362_length_37749_cov_4.505707	NODE_362_length_37749_cov_4.505707
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	100.00	100.00	100.00	NODE_9_length_193081_cov_8.934825	NODE_9_length_193081_cov_8.934825
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_016894225.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	93.85	63.71	67.64	NZ_CP069793.1 Sphingobacterium multivorum strain FDAARGOS_1203 chromosome	NODE_9_length_193081_cov_8.934825
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	93.54	37.89	29.23	GT14BC2:NODE_2886_length_6948_cov_2.316693	NODE_9_length_193081_cov_8.934825
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_014109745.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	91.70	59.42	68.02	NZ_CP058555.1 Sphingobacterium paramultivorum strain BIGb0170 chromosome	NODE_9_length_193081_cov_8.934825
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	91.65	59.98	59.81	NODE_193_length_52978_cov_6.563883	NODE_9_length_193081_cov_8.934825
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_M1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_M1.fna	100.00	100.00	100.00	S17CNODE_1_length_1101834_cov_137.267279	S17CNODE_1_length_1101834_cov_137.267279
