ureC,ureB,ureA,urease_accessory_count,CA_any,CA_alpha,CA_beta,CA_gamma,urease_core_complete,urease_operon_single_contig,ureC_plus_CA_single_contig,MICP_gene_complete,cluster_rep,catalog,Lineage,Genome_type,Completeness,Contamination
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299702,pig-gut,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__W2P13-069;s__W2P13-069 sp004553405,MAG,97.72,0.12
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299739,pig-gut,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__,MAG,74.54,1.12
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299742,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RGIG2206;s__,MAG,57.81,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299743,pig-gut,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__,MAG,70.85,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299751,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__DTU072;g__CAG-1782;s__,MAG,69.42,2.86
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299772,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__,MAG,85.94,2.68
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299773,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp017525455,MAG,85.22,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299774,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,MAG,60.34,0.0
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299786,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900770015,MAG,73.6,1.34
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000299790,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__,MAG,81.99,0.89
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299791,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Scatosoma;s__Scatosoma sp017626135,MAG,92.21,0.81
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299792,pig-gut,d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__,MAG,88.6,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299798,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__,MAG,83.27,2.6
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299800,pig-gut,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA11549;s__UBA11549 sp902777205,MAG,80.72,0.29
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299829,pig-gut,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_A;s__,MAG,81.04,1.01
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299833,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__,MAG,95.51,0.51
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299837,pig-gut,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__UBA1067 sp004551905,MAG,82.01,1.82
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299845,pig-gut,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016292805,MAG,96.97,0.7
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299853,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__,MAG,66.87,0.19
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000299872,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_T,MAG,97.99,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299878,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA2450;s__UBA2450 sp016302705,MAG,94.38,2.25
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299883,pig-gut,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__Enterousia sp900549365,MAG,86.87,0.1
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299884,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp002479075,MAG,77.49,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299901,pig-gut,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__UBA3637;g__;s__,MAG,87.1,0.0
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000299909,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,MAG,65.39,1.58
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299914,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C caeni,MAG,65.86,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299916,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__,MAG,87.63,1.61
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299920,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__W3P20-009;g__;s__,MAG,96.33,0.18
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299921,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,MAG,96.9,0.19
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299927,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__Ignatzschineria merdigallinarum,MAG,95.32,0.29
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000299933,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__,MAG,89.63,3.53
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299934,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-452;s__,MAG,55.23,0.73
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299939,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaeequi,MAG,88.27,2.16
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000299942,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658;s__UBA2658 sp018385135,MAG,96.48,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299946,pig-gut,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__RUG369;s__RUG369 sp004556055,MAG,93.1,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299947,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__,MAG,70.69,2.59
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299948,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFTJ01;s__,MAG,90.91,2.16
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299950,pig-gut,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__UBA1067 sp016303225,MAG,82.07,1.46
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299952,pig-gut,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__,MAG,74.15,1.01
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299961,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Psychrobacillus;s__Psychrobacillus sp012843435,MAG,82.73,1.43
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000299963,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp004556205,MAG,83.65,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299966,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251245,MAG,98.28,0.35
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299971,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Oblitimonas;s__Oblitimonas alkaliphila,MAG,80.39,1.84
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299973,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA2632;s__UBA2632 sp012840785,MAG,80.4,0.83
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299975,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__Firm-04 sp016295145,MAG,93.69,0.67
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000299977,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__JAAZCI01;s__JAAZCI01 sp012513365,MAG,100.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299987,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__UMGS1781 sp004554705,MAG,72.96,0.36
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299989,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,MAG,89.55,0.84
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299993,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A sp016297265,MAG,100.0,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299995,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA3663;g__UBA3663;s__UBA3663 sp016293065,MAG,97.42,1.51
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000300007,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Jeotgalibaca;s__Jeotgalibaca porci,MAG,96.39,3.72
1,1,1,0,1,0,1,1,1,1,0,1,MGYG000300009,pig-gut,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,MAG,83.21,0.9
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000300011,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp004554485,MAG,85.06,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000300012,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__,MAG,72.99,1.01
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300013,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900771975,MAG,97.41,0.36
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000300014,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__,MAG,64.84,0.34
1,1,1,3,1,0,0,1,1,1,0,1,MGYG000300015,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus,MAG,98.78,0.37
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000300031,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA4636;s__,MAG,92.34,0.08
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300037,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__HUN007;s__HUN007 sp016296165,MAG,98.66,1.57
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300039,pig-gut,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016293645,MAG,99.3,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300040,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pseudolwoffii,MAG,91.77,0.14
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300045,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter pasteurii,MAG,85.37,0.55
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300046,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__,MAG,100.0,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300048,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp016302215,MAG,97.92,0.0
1,1,1,4,1,0,1,1,1,1,0,1,MGYG000300052,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__;s__,MAG,75.17,1.55
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300054,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Oceanisphaera;s__Oceanisphaera sp012518835,MAG,90.99,0.54
1,0,0,0,1,1,0,1,0,0,0,0,MGYG000300055,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus agilis,MAG,80.99,0.79
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300057,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,MAG,98.14,0.0
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300060,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp018384375,MAG,90.87,1.59
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300062,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter faecalis,MAG,96.75,1.05
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300065,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS2037;s__,MAG,69.94,1.45
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000300066,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__,MAG,91.58,0.38
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300070,pig-gut,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp900769095,MAG,100.0,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300072,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp900539965,MAG,97.14,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300075,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004554455,MAG,94.21,0.48
1,1,1,4,1,0,1,1,1,1,0,1,MGYG000300082,pig-gut,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,MAG,98.1,1.03
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300083,pig-gut,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018384055,MAG,99.11,0.02
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300086,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__HGM12587;s__HGM12587 sp900766915,MAG,95.79,0.32
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300089,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__,MAG,80.48,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300090,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__,MAG,98.31,0.32
1,1,1,4,1,0,0,1,1,1,1,1,MGYG000300091,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Niameybacter;s__Niameybacter stercoravium,MAG,97.99,3.91
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300093,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA3824;g__UBA3824;s__UBA3824 sp016293845,MAG,98.57,0.95
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300100,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__,MAG,65.73,1.25
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300102,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__,MAG,82.91,3.58
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000300104,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__,MAG,97.99,0.36
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300105,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__,MAG,77.32,0.67
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300106,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Plesiomonas;s__Plesiomonas shigelloides,MAG,100.0,0.56
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000300113,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__,MAG,95.28,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300115,pig-gut,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885,MAG,92.7,2.41
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000300118,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,MAG,94.01,1.42
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300119,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__,MAG,88.68,0.69
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300121,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp905198575,MAG,93.21,2.15
1,1,1,4,1,0,1,1,1,1,1,1,MGYG000300122,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium celatum,MAG,74.31,0.0
1,1,1,4,1,0,1,1,1,0,0,1,MGYG000300123,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KM106-2;s__,MAG,81.64,1.55
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000300125,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__,MAG,92.06,0.95
1,1,1,3,1,0,1,1,1,1,1,1,MGYG000300130,pig-gut,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis,MAG,94.62,0.72
0,0,0,1,1,0,1,1,0,0,0,0,MGYG000300133,pig-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__Basfia_A rossii,MAG,58.03,0.0
1,0,0,4,0,0,0,0,0,0,0,0,MGYG000300136,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900543325,MAG,64.83,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300141,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__,MAG,95.15,1.05
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300144,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900544075,MAG,73.9,0.93
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300147,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4131;s__,MAG,91.72,0.11
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300148,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__,MAG,95.35,0.47
1,1,1,4,1,0,1,1,1,1,1,1,MGYG000300149,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum,MAG,65.52,2.59
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000300150,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium sp004554245,MAG,97.15,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000300154,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__Aphodocola;s__,MAG,73.87,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000300159,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__,MAG,59.4,0.0
