ureC,ureB,ureA,urease_accessory_count,CA_any,CA_alpha,CA_beta,CA_gamma,urease_core_complete,urease_operon_single_contig,ureC_plus_CA_single_contig,MICP_gene_complete,cluster_rep,catalog,Lineage,Genome_type,Completeness,Contamination
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290025,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG306;s__RUG306 sp902772635,MAG,88.16,0.44
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290026,cow-rumen,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__Rs-D84 sp902793435,MAG,86.81,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290027,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1696;s__UMGS1696 sp902783705,MAG,81.89,1.01
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290028,cow-rumen,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__Endomicrobiaceae;g__RUG658;s__,MAG,85.67,2.25
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290030,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp902786465,MAG,81.38,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290031,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp902794405,MAG,95.53,0.86
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290033,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__,MAG,94.01,0.0
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290034,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__,MAG,91.46,1.5
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290038,cow-rumen,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__,MAG,89.19,2.23
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290039,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp902792835,MAG,85.3,1.86
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290040,cow-rumen,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__RUG643;s__RUG643 sp902778455,MAG,99.79,0.63
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290048,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1213;s__UBA1213 sp902801715,MAG,81.75,1.01
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290050,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp900320185,MAG,94.6,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290052,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1267;s__UBA1267 sp902796795,MAG,84.39,3.28
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290055,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__,MAG,81.19,2.41
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290056,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS1449;s__UMGS1449 sp902797995,MAG,87.92,1.12
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000290059,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA1248;s__UBA1248 sp902784545,MAG,95.08,0.34
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290062,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2856;s__UBA2856 sp902785635,MAG,90.8,4.64
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290063,cow-rumen,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_B;s__Olsenella_B sp900548775,MAG,99.73,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290064,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA733;s__UBA733 sp004561785,MAG,92.13,2.25
1,0,0,0,1,0,1,1,0,0,0,0,MGYG000290065,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__,MAG,91.05,2.35
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290069,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__,MAG,87.17,1.24
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290070,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__;s__,MAG,92.11,1.65
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290071,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900316815,MAG,97.76,0.87
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290072,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,MAG,97.44,0.68
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290075,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__,MAG,89.91,2.47
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290076,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp902787295,MAG,80.48,1.48
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290077,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp902786365,MAG,98.99,0.67
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290078,cow-rumen,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410;s__RUG410 sp900313155,MAG,82.54,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290079,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__,MAG,93.62,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290080,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG306;s__RUG306 sp900314085,MAG,92.48,0.48
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290082,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp902784015,MAG,80.82,4.13
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290084,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__,MAG,94.5,0.69
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290087,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3766;s__,MAG,95.48,0.74
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290090,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp902784585,MAG,85.77,0.27
1,0,0,0,1,0,1,1,0,0,0,0,MGYG000290091,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__,MAG,95.3,0.67
1,0,0,0,1,0,1,1,0,0,0,0,MGYG000290095,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Thermoactinomyces;s__Thermoactinomyces vulgaris,MAG,98.31,0.19
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290096,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp902775485,MAG,90.66,1.95
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290097,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__RUG563;s__RUG563 sp902761755,MAG,83.44,0.58
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290100,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp902761655,MAG,93.14,0.48
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290101,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2856;s__UBA2856 sp902800805,MAG,98.1,1.27
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290102,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp002373505,MAG,94.35,0.54
1,1,1,4,1,0,0,1,1,1,0,1,MGYG000290103,cow-rumen,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp902785455,MAG,89.51,1.75
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290106,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__,MAG,84.62,1.51
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290108,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp900320965,MAG,95.91,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290109,cow-rumen,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio sp900548165,MAG,99.66,1.52
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290111,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__;s__,MAG,83.93,3.49
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290114,cow-rumen,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp900318035,MAG,92.39,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290115,cow-rumen,d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2813;s__UBA2813 sp900314375,MAG,88.89,2.56
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290116,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp902762565,MAG,96.15,1.82
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290117,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp902778625,MAG,94.2,0.93
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000290119,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__,MAG,92.93,2.35
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290120,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__,MAG,91.14,0.84
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290122,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__,MAG,85.77,0.13
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290124,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900316445,MAG,95.2,1.88
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290125,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__,MAG,97.76,1.34
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290128,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp902781215,MAG,94.71,0.72
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290130,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__UBA1777 sp900321275,MAG,91.28,0.0
1,0,0,0,1,0,1,1,0,0,0,0,MGYG000290133,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1213;s__UBA1213 sp900321195,MAG,98.66,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290135,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG11214;s__,MAG,90.43,0.0
1,0,0,0,1,0,1,1,0,0,0,0,MGYG000290136,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__,MAG,92.61,2.68
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290137,cow-rumen,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__,MAG,84.86,3.38
0,0,0,1,1,0,1,1,0,0,0,0,MGYG000290148,cow-rumen,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__ISO4-G1;s__,MAG,91.53,1.61
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290149,cow-rumen,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__RUG369;s__RUG369 sp902803085,MAG,80.23,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290150,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA1217;s__UBA1217 sp902793295,MAG,96.51,0.54
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290153,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1487;s__,MAG,84.47,1.51
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290154,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp902777655,MAG,97.99,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290155,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA1711;s__UBA1711 sp002372855,MAG,96.24,1.08
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290156,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__,MAG,89.33,2.25
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290157,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp902798615,MAG,94.5,0.12
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290158,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp900317345,MAG,93.49,1.08
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290159,cow-rumen,d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA1221;s__,MAG,89.74,1.71
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290160,cow-rumen,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D saccharophilum,MAG,96.66,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290161,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__F23-D06;s__F23-D06 sp902771655,MAG,87.8,2.69
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290164,cow-rumen,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes_C,MAG,94.35,1.1
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290167,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA1217;s__,MAG,91.22,1.61
1,0,0,0,1,0,1,1,0,0,0,0,MGYG000290169,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1213;s__UBA1213 sp900316485,MAG,98.97,0.67
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290171,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__UBA1390;g__RUG159;s__RUG159 sp902796435,MAG,91.72,0.73
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290177,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__Bact-19;s__,MAG,97.7,1.67
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000290178,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__,MAG,92.9,2.01
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290182,cow-rumen,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900316935,MAG,98.56,0.32
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000290185,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3855;s__UBA3855 sp902767115,MAG,92.47,0.17
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290186,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__,MAG,95.75,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290187,cow-rumen,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__UBA1436 sp902761975,MAG,92.7,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290188,cow-rumen,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__,MAG,83.77,0.06
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290189,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RUG11257;s__RUG11257 sp902773305,MAG,80.15,2.3
1,1,1,3,1,0,1,1,1,1,0,1,MGYG000290192,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1066;s__UBA1066 sp900313955,MAG,85.02,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290198,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG12438;s__RUG12438 sp902783215,MAG,82.05,2.69
0,0,0,0,1,0,1,0,0,0,0,0,MGYG000290199,cow-rumen,d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp902775025,MAG,88.03,0.0
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000290200,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3855;s__UBA3855 sp902783005,MAG,95.86,2.01
1,0,0,0,1,1,1,1,0,0,0,0,MGYG000290201,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG099;s__RUG099 sp902774265,MAG,96.3,0.71
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290202,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp902784785,MAG,90.48,2.06
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290206,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__UBA1390;g__RUG159;s__RUG159 sp900316145,MAG,97.52,0.56
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290207,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA3207;s__,MAG,91.2,0.0
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290208,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__,MAG,91.46,1.34
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290211,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__,MAG,82.95,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290214,cow-rumen,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1731;s__,MAG,81.8,2.25
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290217,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA2862;s__UBA2862 sp900317565,MAG,93.82,2.69
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290219,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp900313205,MAG,88.29,0.4
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290221,cow-rumen,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__UBA1407;g__UBA1407;s__UBA1407 sp902776645,MAG,85.14,0.73
1,0,0,0,1,0,1,1,0,0,0,0,MGYG000290223,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_T;s__Eubacterium_T pyruvativorans,MAG,98.94,0.0
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290225,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,MAG,86.07,1.58
