MAG	origin	experiment	original_sample	assembly_type	binning_method	completeness_pct	contamination_pct	quality_class	genome_coverage_x	mapping_reads_pct_avg	mapping_reads_pct_max	sra_run_raw_reads	biosample_raw_reads	mag_biosample	source_gtdb_genus	source_gtdb_species	sampling_day	is_candidate
C20	Manured soil	Soil B	GT14BC2	Coassembly	COMEbin	67.6	2.39	Medium	9.6227415564151	0.10171720515686274	1.5434315	SRR15032969	SAMN20010767	SAMN47200932	Achromobacter	A. spanius	14	False
C21	Manured soil	Soil B	GT14BC2	Coassembly	COMEbin	59.08	4.09	Medium	12.0996319256639	0.0661926614117647	1.2236686	SRR15032969	SAMN20010767	SAMN47201016	Stenotrophomonas	S. bentonitica	14	False
C22	Manured soil	Soil B	GT14BC2	Coassembly	COMEbin	65.37	3.9	Medium	5.40357817419979	0.04347176449019608	0.849497	SRR15032969	SAMN20010767	SAMN47201009	Sphingobacterium	S. siyangense	14	True
M1	Manure	Soil S	GT14SEXb	Individual	MaxBin	99.97	0.0	High	278.874800707624	3.9161659861764693	39.61494	SRR15032984	SAMN20010780	SAMN47201001	Pseudomonas	Pseudomonas sp025837155	14	True
M2	Manured soil	Soil B	GT28BC2c	Individual	MaxBin	55.58	9.21	Medium	73.2541639919319	1.3808890806078435	12.544971	SRR15032976	SAMN20010787	SAMN47200980	Pseudomonas	Unknown	28	False
M3	Manure	Soil B	GT28BEXa	Individual	MaxBin	99.96	1.34	pHigh	172.521474347685	2.8165888912941184	21.744297	SRR15032975	SAMN20010788	SAMN47201021	Stenotrophomonas	S. lactitubi	28	False
M4	Manure	Soil B	GT28BEXb	Individual	MaxBin	100.0	0.83	pHigh	85.6072789234684	0.3812619188823529	10.382477	SRR15032974	SAMN20010789	SAMN47201018	Stenotrophomonas	S. hibiscicola	28	False
M5	Manure	Soil B	GT28BEXc	Individual	MaxBin	99.68	0.3	pHigh	165.791395715828	3.0838108223529423	34.19588	SRR15032973	SAMN20010790	SAMN47200930	Achromobacter	A. mucicolens	28	False
M6	Manured soil	Soil S	GT28SC2a	Individual	MaxBin	59.6	8.16	Medium	131.072229877785	3.6173493131372556	11.711968	SRR15032968	SAMN20010794	SAMN47201020	Stenotrophomonas	S. indicatrix	28	False
M7	Manured soil	Soil S	GT2SC2b	Individual	MaxBin	52.06	8.53	Medium	11.4044894057304	0.27146839480392154	0.9000347	SRR15032951	SAMN20010810	SAMN47200981	Pseudomonas	Unknown	2	False
M8	Manure	Soil S	GT2SEXc	Individual	MaxBin	99.99	0.12	High	26.3588651060589	1.2675071692156863	47.39175	SRR15032946	SAMN20010814	SAMN47200951	Acinetobacter	A. vivianii	2	False
M9	Manure	Soil S	GT2SEXc	Individual	MaxBin	99.99	0.2	pHigh	172.807201318375	1.7650901806862742	37.542015	SRR15032946	SAMN20010814	SAMN47200987	Pseudomonas	P. oleovorans	2	False
M10	Manure	Soil S	GT2SEXc	Individual	MaxBin	61.11	7.74	Medium	16.042988321865	0.19948368578431366	2.3849528	SRR15032946	SAMN20010814	SAMN47200953	Alcaligenes	Unknown	2	False
M11	Manure	Soil B	GT14BEXc	Individual	MaxBin	100.0	0.0	pHigh	67.028137175689	2.4984831466470596	14.813666	SRR15032943	SAMN20010772	SAMN47200969	Comamonas	C. tsuruhatensis	14	False
M12	Soil	Soil B	GT28BAc	Individual	MetaBAT	64.92	5.1	Medium	86.5203943718774	3.1253989363725494	11.015557	SRR15032979	SAMN20010784	SAMN47201014	Stenotrophomonas	Unknown	28	False
M13	Soil	Soil S	GT2SAb	Individual	MetaBAT	99.9	0.13	pHigh	412.604163093899	10.29307233	50.88823	SRR15032954	SAMN20010807	SAMN47200940	Acinetobacter	A. calcoaceticus	2	False
M14	Manure	Soil S	GT2SEXa	Individual	MetaBAT	100.0	0.57	pHigh	239.781177719241	2.876999244823529	27.041245	SRR15032949	SAMN20010812	SAMN47200954	Alcaligenes	Alcaligenes faecalis	2	False
M15	Manure	Soil B	GT14BEXb	Individual	MetaBAT	99.99	0.27	pHigh	13.052240463252	0.10889563627450982	2.5295906	SRR15032944	SAMN20010771	SAMN47200967	Comamonas	C. sp002472915	14	False
S1	Soil	Soil B	GT14BA	Coassembly	SemiBin2	85.33	0.25	Medium	12.10644048623	0.22459241547058822	2.8688295	SRR15032941	SAMN20010764	SAMN47200977	Paraburkholderia	P. terricola	14	False
S2	Manured soil	Soil B	GT14BC2	Coassembly	SemiBin2	99.92	0.38	pHigh	116.547570887244	1.3627107018627451	24.190355	SRR15032969	SAMN20010767	SAMN47200923	Achromobacter	Unknown	14	False
S3	Manured soil	Soil B	GT14BC2	Coassembly	SemiBin2	99.98	0.36	High	382.963524548564	3.392147899882352	40.678143	SRR15032969	SAMN20010767	SAMN47200943	Acinetobacter	A. gandensis	14	False
S4	Manured soil	Soil B	GT14BC2	Coassembly	SemiBin2	85.25	0.38	Medium	14.0900373076616	0.14418445345098038	2.3437934	SRR15032969	SAMN20010767	SAMN47200996	Pseudomonas	P. shirazensis	14	False
S5	Manure	Soil B	GT14BEX	Coassembly	SemiBin2	94.5	1.26	pHigh	17.6362955801049	0.32821146876470586	4.262045	SRR15032945	SAMN20010770	SAMN47200924	Achromobacter	Unknown	14	False
S6	Manure	Soil B	GT28BEX	Coassembly	SemiBin2	73.05	0.24	Medium	9.84721248697549	0.08684739396078434	1.1711375	SRR15032975	SAMN20010788	SAMN47201013	Stenotrophomonas	Unknown	28	False
S7	Manured soil	Soil S	GT14SC2	Coassembly	SemiBin2	80.72	0.54	Medium	11.5543632187999	0.11463537337254899	1.8033437	SRR15032988	SAMN20010776	SAMN47201031	Stenotrophomonas	Stenotrophomonas sp030549615	14	False
S8	Manured soil	Soil S	GT14SC2	Coassembly	SemiBin2	55.04	0.63	Medium	35.5519479183183	0.44003980960784317	4.057948	SRR15032988	SAMN20010776	SAMN47201028	Stenotrophomonas	Stenotrophomonas sp003086775	14	False
S9	Manure	Soil S	GT14SEX	Coassembly	SemiBin2	99.99	0.16	High	98.4025524685219	1.1142998204509802	18.080965	SRR15032985	SAMN20010779	SAMN47200988	Pseudomonas	P. palmensis	14	False
S10	Soil	Soil B	GT28BA	Coassembly	SemiBin2	89.74	0.22	Medium	11.4439472358981	0.09723534609803923	2.34848	SRR15032982	SAMN20010782	SAMN47201000	Pseudomonas	Pseudomonas sp020520285	28	False
S11	Soil	Soil B	GT28BA	Coassembly	SemiBin2	52.63	0.56	Medium	7.96229312555399	0.08391726009803922	1.0436456	SRR15032982	SAMN20010782	SAMN47201032	Variovorax	Variovorax sp000282635	28	False
S12	Manured soil	Soil B	GT28BC2	Coassembly	SemiBin2	79.22	0.99	Medium	8.33110799152386	0.13409814607843137	1.2894288	SRR15032978	SAMN20010785	SAMN47201023	Stenotrophomonas	S. maltophilia	28	False
S13	Manured soil	Soil B	GT28BC2	Coassembly	SemiBin2	70.03	0.41	Medium	4.55906545613512	0.06587310623529412	0.7046437	SRR15032978	SAMN20010785	SAMN47201007	Sphingobacterium	Unknown	28	True
S14	Manured soil	Soil B	GT28BC2	Coassembly	SemiBin2	99.75	1.22	pHigh	272.504782245552	6.182087891549022	61.805786	SRR15032978	SAMN20010785	SAMN47200970	Cupriavidus	Cupriavidus sp000955785	28	False
S15	Manured soil	Soil B	GT28BC2	Coassembly	SemiBin2	90.71	1.07	pHigh	9.32544825161959	0.1461622805490196	1.6430248	SRR15032978	SAMN20010785	SAMN47200964	Comamonas	Unknown	28	False
S16	Manured soil	Soil B	GT28BC2	Coassembly	SemiBin2	93.25	0.87	pHigh	12.6075161003516	0.10301322719607842	2.82787	SRR15032978	SAMN20010785	SAMN47201006	Sphingobacterium	Unknown	28	True
S17	Manure	Soil B	GT28BEX	Coassembly	SemiBin2	80.25	0.66	Medium	16.5302281793617	0.04863231198039216	1.6853793	SRR15032975	SAMN20010788	SAMN47201012	Stenotrophomonas	Unknown	28	False
S18	Manure	Soil B	GT28BEX	Coassembly	SemiBin2	92.32	1.06	High	40.4276494616369	0.5823569673529412	7.2481184	SRR15032975	SAMN20010788	SAMN47200985	Pseudomonas	P. kermanshahensis	28	False
S19	Manured soil	Soil S	GT28SC2	Coassembly	SemiBin2	95.75	1.59	pHigh	12.9421075173578	0.14803535296078432	2.2018983	SRR15032968	SAMN20010794	SAMN47200997	Pseudomonas	Pseudomonas sp000955815	28	False
S20	Manured soil	Soil S	GT28SC2	Coassembly	SemiBin2	99.1	2.82	pHigh	16.7485538325327	0.21883504549019606	2.9775317	SRR15032968	SAMN20010794	SAMN47201003	Pseudomonas	Pseudomonas sp900101695	28	False
S21	Manure	Soil S	GT28SEX	Coassembly	SemiBin2	99.99	1.21	pHigh	61.7313404842879	0.5470297078039216	14.558253	SRR15032965	SAMN20010797	SAMN47200922	Achromobacter	Unknown	28	False
S22	Manured soil	Soil B	GT2BC2	Coassembly	SemiBin2	94.81	0.13	pHigh	15.1835444914969	0.06324106784313725	2.0528674	SRR15032962	SAMN20010800	SAMN47200961	Chryseobacterium	C. joostei	2	False
S23	Manured soil	Soil B	GT2BC2	Coassembly	SemiBin2	92.63	1.59	High	9.72123162863926	0.15655312978431377	1.9682611	SRR15032962	SAMN20010800	SAMN47201008	Sphingobacterium	S. paramultivorum	2	True
S24	Manured soil	Soil B	GT2BC2	Coassembly	SemiBin2	86.66	2.58	Medium	4.67271221864548	0.05221415198039216	0.5052241	SRR15032962	SAMN20010800	SAMN47200944	Acinetobacter	A. guillouiae	2	False
S25	Manured soil	Soil B	GT2BC2	Coassembly	SemiBin2	100.0	0.0	High	161.554474284984	4.294804454117647	26.641195	SRR15032962	SAMN20010800	SAMN47201024	Stenotrophomonas	S. maltophilia	2	False
S26	Manure	Soil S	GT2SEX	Coassembly	SemiBin2	99.73	0.14	pHigh	9.30015550186074	0.034442978039215685	1.3635418	SRR15032949	SAMN20010812	SAMN47200984	Pseudomonas	P. helleri	2	True
S27	Soil	Soil S	GT2SA	Coassembly	SemiBin2	83.66	0.97	Medium	60.4999687205597	0.5369007250196077	9.689277	SRR15032955	SAMN20010806	SAMN47200979	Pseudomonas	Unknown	2	False
S28	Manured soil	Soil S	GT2SC2	Coassembly	SemiBin2	99.96	0.2	pHigh	20.3807255062258	0.18834837986274508	3.1602635	SRR15032952	SAMN20010809	SAMN47200968	Comamonas	C. testosteroni	2	False
S29	Manured soil	Soil S	GT2SC2	Coassembly	SemiBin2	81.18	2.28	Medium	10.2640750018393	0.0594655738627451	0.98520994	SRR15032952	SAMN20010809	SAMN47200948	Acinetobacter	Acinetobacter sp002135435	2	False
S30	Manure	Soil S	GT2SEX	Coassembly	SemiBin2	58.39	0.37	Medium	7.7382247435136	0.0437395891372549	0.8417575	SRR15032949	SAMN20010812	SAMN47200950	Acinetobacter	Acinetobacter sp013417555	2	False
S31	Manure	Soil S	GT2SEX	Coassembly	SemiBin2	99.45	0.51	High	11.5737893625895	0.4712747155882353	4.1146355	SRR15032949	SAMN20010812	SAMN47200983	Pseudomonas	P. capeferrum	2	False
S32	Manure	Soil S	GT2SEX	Coassembly	SemiBin2	99.92	0.41	pHigh	404.266774351733	2.4063680440980395	41.996376	SRR15032949	SAMN20010812	SAMN47200945	Acinetobacter	A. johnsonii	2	False
V1	Soil	Soil S	GT14SAb	Individual	AVAMB	100.0	0.08	pHigh	459.622386051182	6.063641667254899	79.280334	SRR15032939	SAMN20010774	SAMN47201019	Stenotrophomonas	S. indicatrix	14	False
V2	Soil	Soil S	GT14SAc	Individual	AVAMB	99.98	0.08	pHigh	22.8083401312898	0.2850643347058823	3.383549	SRR15032938	SAMN20010775	SAMN47200966	Comamonas	C. koreensis	14	False
V3	Soil	Soil S	GT14SAc	Individual	AVAMB	85.17	2.8	Medium	7.29970942044416	0.06751620256862745	0.940386	SRR15032938	SAMN20010775	SAMN47201010	Sphingobacterium	S. sp019969845	14	False
V4	Manure	Soil S	GT14SEXa	Individual	AVAMB	86.21	0.26	Medium	57.278370907521	0.40400248468627453	5.996515	SRR15032985	SAMN20010779	SAMN47201022	Stenotrophomonas	S. maltophilia	14	False
V5	Manure	Soil S	GT14SEXb	Individual	AVAMB	99.27	0.96	pHigh	31.6524509925117	0.2411404165882353	3.9399004	SRR15032984	SAMN20010780	SAMN47200956	Alcaligenes	Alcaligenes sp023425645	14	False
V6	Manure	Soil S	GT14SEXb	Individual	AVAMB	94.54	0.08	pHigh	33.4259010232552	0.0845840014117647	3.828847	SRR15032984	SAMN20010780	SAMN47201015	Stenotrophomonas	S. acidaminiphila	14	False
V7	Manure	Soil S	GT14SEXb	Individual	AVAMB	71.43	1.49	Medium	25.2294399024701	0.12706340390196078	2.7570522	SRR15032984	SAMN20010780	SAMN47201029	Stenotrophomonas	Stenotrophomonas sp003484865	14	False
V8	Soil	Soil B	GT28BAa	Individual	AVAMB	99.96	0.16	pHigh	27.5884203881891	0.504358368882353	9.244451	SRR15032982	SAMN20010782	SAMN47200947	Acinetobacter	A. schindleri	28	False
V9	Soil	Soil B	GT28BAb	Individual	AVAMB	99.18	0.93	pHigh	13.7257209638156	0.1690369057058823	3.3178186	SRR15032981	SAMN20010783	SAMN47200999	Pseudomonas	Pseudomonas sp001655615	28	False
V10	Manure	Soil B	GT28BEXa	Individual	AVAMB	99.99	0.45	pHigh	199.406067848348	1.9590635227450977	37.202377	SRR15032975	SAMN20010788	SAMN47200927	Achromobacter	A. denitrificans	28	False
V11	Manure	Soil B	GT28BEXb	Individual	AVAMB	94.11	1.56	pHigh	16.482428299937	0.07449275547058823	2.8692255	SRR15032974	SAMN20010789	SAMN47201004	Pseudomonas	Pseudomonas sp943914515	28	False
V12	Manure	Soil B	GT28BEXc	Individual	AVAMB	90.19	0.6	pHigh	189.71012450981	0.7276521269411764	20.68953	SRR15032973	SAMN20010790	SAMN47200955	Alcaligenes	Alcaligenes nematophilus	28	False
V13	Manure	Soil B	GT28BEXc	Individual	AVAMB	63.68	3.24	Medium	17.2503443671762	0.05617115	1.3057115	SRR15032973	SAMN20010790	SAMN47201027	Stenotrophomonas	Stenotrophomonas sp002471015	28	False
V14	Soil	Soil S	GT28SAa	Individual	AVAMB	93.23	0.71	pHigh	57.0861663401801	1.466228440127451	10.986804	SRR15032972	SAMN20010791	SAMN47200928	Achromobacter	A. kerstersii	28	False
V15	Soil	Soil S	GT28SAa	Individual	AVAMB	99.94	0.14	pHigh	35.4421875393014	0.41140843705882346	5.1692686	SRR15032972	SAMN20010791	SAMN47200963	Chryseobacterium	Chryseobacterium sp900156935	28	False
V16	Soil	Soil S	GT28SAc	Individual	AVAMB	70.28	0.4	Medium	11.9371609605361	0.06106785135294118	1.4525048	SRR15032970	SAMN20010793	SAMN47200959	Chryseobacterium	C. culicis	28	False
V17	Soil	Soil S	GT28SAc	Individual	AVAMB	97.8	0.49	pHigh	5.06892971444015	0.023342052941176472	1.1904447	SRR15032970	SAMN20010793	SAMN47200958	Burkholderia	Burkholderia contaminans	28	False
V18	Soil	Soil S	GT28SAc	Individual	AVAMB	94.52	0.84	pHigh	12.2478632730543	0.3012022734705882	2.4804888	SRR15032970	SAMN20010793	SAMN47200929	Achromobacter	A. marplatensis	28	False
V19	Manured soil	Soil S	GT28SC2b	Individual	AVAMB	51.75	0.63	Medium	13.496786602762	0.04628967137254902	1.3155205	SRR15032967	SAMN20010795	SAMN47200998	Pseudomonas	Pseudomonas sp001422615	28	False
V20	Manure	Soil S	GT28SEXb	Individual	AVAMB	93.16	0.76	pHigh	81.4624902774555	1.2568495545686276	17.385445	SRR15032964	SAMN20010798	SAMN47200925	Achromobacter	Unknown	28	False
V21	Manured soil	Soil B	GT2BC2b	Individual	AVAMB	94.55	0.39	pHigh	121.556045065202	0.5459996059607843	11.004966	SRR15032961	SAMN20010801	SAMN47200937	Acinetobacter	A. amyesii	2	False
V22	Manured soil	Soil B	GT2BC2b	Individual	AVAMB	95.4	0.41	pHigh	11.4656867190941	0.23630497047058824	1.9500695	SRR15032961	SAMN20010801	SAMN47200993	Pseudomonas	P. putida	2	False
V23	Manured soil	Soil B	GT2BC2b	Individual	AVAMB	82.49	0.77	Medium	7.36031704094114	0.04964025117647059	0.736676	SRR15032961	SAMN20010801	SAMN47200935	Acinetobacter	Unknown	2	False
V24	Manured soil	Soil B	GT2BC2c	Individual	AVAMB	99.96	0.61	pHigh	43.3055487817248	0.33104722864705877	6.843578	SRR15032960	SAMN20010802	SAMN47200960	Chryseobacterium	C. jejuense	2	False
V25	Soil	Soil S	GT2SAa	Individual	AVAMB	55.82	0.18	Medium	14.4263375233503	0.13875081694117647	1.4070699	SRR15032955	SAMN20010806	SAMN47200991	Pseudomonas	P. putida	2	False
V26	Soil	Soil S	GT2SAb	Individual	AVAMB	99.74	0.08	pHigh	8.13867448015877	0.0588531262745098	1.411561	SRR15032954	SAMN20010807	SAMN47200972	Flavobacterium	Flavobacterium sp002303885	2	False
V27	Soil	Soil S	GT2SAc	Individual	AVAMB	64.17	0.09	Medium	7.66512107958428	0.12288566125490197	1.2381238	SRR15032953	SAMN20010808	SAMN47200994	Pseudomonas	P. putida	2	False
V28	Soil	Soil S	GT2SAc	Individual	AVAMB	98.36	0.07	pHigh	45.5256291847511	0.940843662745098	11.836304	SRR15032953	SAMN20010808	SAMN47200986	Pseudomonas	P. laurylsulfatiphila	2	False
V29	Soil	Soil S	GT2SAc	Individual	AVAMB	93.0	1.19	pHigh	8.06687145670942	0.2629476142156863	2.0947506	SRR15032953	SAMN20010808	SAMN47200990	Pseudomonas	P. protegens	2	False
V30	Soil	Soil S	GT2SAc	Individual	AVAMB	95.97	0.4	pHigh	30.3287694768726	0.22708370796078434	5.52884	SRR15032953	SAMN20010808	SAMN47201025	Stenotrophomonas	S. rhizophila	2	False
V31	Soil	Soil S	GT2SAc	Individual	AVAMB	95.87	0.1	pHigh	22.8121798337985	0.11562954507843137	4.6002145	SRR15032953	SAMN20010808	SAMN47200962	Chryseobacterium	C. rhizosphaerae	2	False
V32	Manured soil	Soil S	GT2SC2c	Individual	AVAMB	82.94	3.03	Medium	9.22405520160143	0.1557445831372549	1.6810056	SRR15032950	SAMN20010811	SAMN47200989	Pseudomonas	P. protegens	2	False
V33	Manure	Soil S	GT2SEXa	Individual	AVAMB	97.09	0.07	pHigh	0.487080670762664	0.03922717782352941	1.8088733	SRR15032949	SAMN20010812	SAMN47200978	Pseudomonas	Unknown	2	False
V34	Manure	Soil S	GT2SEXb	Individual	AVAMB	100.0	0.0	pHigh	81.0032389139563	1.1692059689215688	23.762398	SRR15032948	SAMN20010813	SAMN47201017	Stenotrophomonas	S. geniculata	2	False
V35	Manure	Soil S	GT2SEXc	Individual	AVAMB	83.97	0.88	Medium	65.3783432063985	0.218921783627451	4.436936	SRR15032946	SAMN20010814	SAMN47200946	Acinetobacter	A. pseudolwoffii	2	False
V36	Manure	Soil B	GT2BEXa	Individual	AVAMB	95.24	1.75	pHigh	214.164344106221	0.8079252225882353	19.331362	SRR15032959	SAMN20010803	SAMN47200942	Acinetobacter	A. faecalis	2	False
V37	Manure	Soil B	GT2BEXb	Individual	AVAMB	88.51	0.25	Medium	52.8278251816415	0.1107096117647059	4.6413803	SRR15032957	SAMN20010804	SAMN47200934	Acinetobacter	Unknown	2	False
V38	Manure	Soil B	GT2BEXc	Individual	AVAMB	85.64	0.37	Medium	78.458896752192	0.1508059562745098	5.818785	SRR15032956	SAMN20010805	SAMN47200949	Acinetobacter	Acinetobacter sp002365595	2	False
V39	Manured soil	Soil B	GT14BC2b	Individual	AVAMB	99.78	0.1	pHigh	82.9800561375835	0.2959863137254902	15.095302	SRR15032958	SAMN20010768	SAMN47201002	Pseudomonas	Pseudomonas sp029839275	14	False
V40	Manured soil	Soil B	GT14BC2c	Individual	AVAMB	79.14	0.39	Medium	26.9085219072291	0.2510539716862744	3.6183047	SRR15032947	SAMN20010769	SAMN47201026	Stenotrophomonas	S. sepilia	14	False
V41	Manure	Soil B	GT14BEXa	Individual	AVAMB	81.72	1.03	Medium	11.2620118067143	0.12905737537254902	2.5855975	SRR15032945	SAMN20010770	SAMN47200933	Achromobacter	A. veterisilvae	14	False
V42	Manure	Soil B	GT14BEXb	Individual	AVAMB	100.0	0.06	High	295.688824079621	2.748769448980392	65.63763	SRR15032944	SAMN20010771	SAMN47201005	Pseudomonas	P. urmiensis	14	False
